абай,3110
абая,1582
базаралы,755
слова,714
пусть,559
абаю,527
кунанбай,525
кунанбая,488
аул,460
юрты,399
ербол,390
людей,383
коня,382
коней,376
айгерим,373
глаза,350
дармен,342
абиш,342
своим,328
такежан,327
народа,324
аула,318
отца,302
жизни,291
сердце,287
улжан,285
юрте,285
уразбай,279
магаш,277
жиренше,271
словно,266
ответил,261
быстро,246
такежана,244
тобыкты,240
руки,237
казалось,237
тогжан,231
понял,228
знал,228
юрту,226
сын,222
ауле,222
рода,219
заговорил,218
голову,216
жигиты,213
абаем,211
молча,211
макен,208
аулы,208
возле,208
абылгазы,203
спросил,202
оспан,194
степи,193
сторону,193
продолжал,192
мысли,191
божея,188
видно,187
даркембай,186
абиша,183
своими,182
жигитов,182
пути,180
сына,180
песни,180
решил,178
едва,177
человека,177
аулов,176
стихи,174
шубар,173
дома,169
уразбая,169
оспана,162
приехал,162
скот,162
головой,161
места,161
азимбай,160
вперед,159
друзья,159
бокенши,157
баймагамбет,156
гостей,154
разговор,153
матери,152
прямо,150
говорят,148
какитай,148
байдалы,147
говорили,146
нынче,145
стали,143
глазами,143
слезы,142
майбасар,140
городе,139
песня,138
смерти,137
песню,135
жайляу,134
дети,133
горе,133
точно,132
сидел,130
всей,128
стороны,128
дармена,127
стало,126
думал,125
руку,125
молодежь,125
сердца,124
слышал,124
мысль,124
доме,123
громко,123
повернулся,122
дней,121
таких,120
неужели,120
гости,120
женщины,119
казахов,118
душе,118
магаша,118
жигит,118
кокпай,116
знает,116
подумал,115
вышел,115
землю,114
юрт,113
родов,113
своем,113
детей,113
пришел,113
народу,113
рассказал,112
руках,112
спокойно,112
поэтому,111
такого,109
таким,109
взял,109
жигитеков,109
зере,109
заметил,108
впереди,108
резко,108
молодой,107
абайага,107
земли,106
силы,106
божей,105
видимо,105
обратился,104
лошадей,103
ясно,103
чтото,103
павлов,103
брата,103
старик,103
могли,102
стоял,102
ветер,102
решение,101
другу,101
друзей,101
русских,101
степь,100
суюндик,100
ноги,100
кунанбаю,100
мое,100
которую,100
посмотрел,99
жигита,98
впервые,98
глядя,98
другом,97
души,97
своему,97
ночи,97
жатаков,97
множество,97
отцу,96
дорогой,95
деле,95
бог,95
вернулся,95
одним,93
взглядом,93
годы,93
изза,93
брат,93
новые,92
глазах,92
города,92
узнал,92
увидев,92
слушал,92
успел,91
тихо,91
знаю,91
начали,91
ербола,91
душу,91
словами,91
девушка,90
стоит,90
хочет,90
шаке,90
михайлов,89
последние,89
крепко,89
вслед,89
вошел,89
другим,89
остальные,89
закончил,89
внезапно,89
скота,88
девушки,88
легко,87
пошел,87
овец,86
салем,86
акшокы,86
абды,86
стояли,86
конца,85
крикнул,85
тотчас,85
моей,85
нурганым,85
медленно,85
увидел,84
ночью,84
лице,84
каражан,84
сделал,84
приказал,83
сармолла,83
речь,83
которое,83
пел,83
поднял,82
лицом,82
услышав,82
волости,82
аулу,82
добавил,82
одну,82
даркембая,81
кони,81
решили,81
снег,81
домой,81
первым,81
утром,81
рукой,81
невольно,81
табуны,81
конь,80
майбасара,80
готов,80
словах,79
весть,79
шел,79
айгыз,79
поэта,79
остался,78
завтра,78
трудом,78
скоро,78
абдрахман,78
дамежан,77
имени,77
старики,77
суюндика,77
стала,77
прежде,77
изгутты,76
родной,76
племени,76
оказался,76
мальчик,76
молодые,76
навстречу,76
бедняков,75
счастье,75
сильно,75
сеит,75
салтанат,75
смотрел,74
вчера,74
толпа,74
старика,74
стороне,74
письмо,74
правду,74
внимательно,73
честь,73
казахи,73
еркежан,72
родичи,72
утегельды,72
юноша,72
сидели,72
головы,72
азимбая,72
иначе,72
минуту,72
исхак,72
самое,72
одни,72
ехать,71
тяжело,71
какие,71
пришлось,71
наших,71
человеком,71
взглянул,71
которым,70
глубоко,70
